;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Junio 1986 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;COALICION POPULAR;;CENTRO DEMOCRATICO Y SOCIAL;;CONVERGENCIA I UNIO;;COALICION IZQUIERDA UNIDA;;PARTIDO NACIONALISTA VASCO;;HERRI BATASUNA;;MESA PARA LA UNIDAD DE LOS COMUNISTAS;;PARTIDO REFORMISTA DEMOCRATICO;;EUSKADIKO EZKERRA;;PARTIDO ANDALUCISTA;;ESQUERRA REPUBLICANA DE CATALUNYA;;COALICION GALEGA;;PARTIDO SOCIALISTA DE LOS TRABAJADORES;;PARTIDO ARAGONES REGIONALISTA;;COALICION AGRUPACIONES INDEPENDIENTES DE CANARIAS;;UNIO VALENCIANA;;PARTIT DELS COMUNISTES DE CATALUNYA;;PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA;;FALANGE ESPAÑOLA DE LAS JONS;;UNIFICACION COMUNISTA DE ESPAÑA;;UNITAT DEL POBLE VALENCIA;;ASAMBLEA CANARIA-IZQUIERDA NACIONALISTA CANARIA;;LOS VERDES;;LISTA ALTERNATIVA VERDE;;VERTICE ESPAÑOL REIVINDICACION DESARROLL ECOLOGICO;;UNIDAD  POPULAR REPUBLICANA;;BLOQUE NACIONALISTA GALEGO;;PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA;;EXTREMADURA UNIDA;;PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ;;PSM ESQUERRA NACIONALISTA;;COALICION DE UNIDAD NACIONAL;;PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA;;PARTIT SOCIALDEMOCRATA DE CATALUNYA;;AGRUPACION DE ELECTORES INDEPENDIENTES;;COALICION CONVERGENCIA LEONESISTA;;PARTIDO REGIONALISTA DEL PAIS LEONES;;ESQUERRA NACIONALISTA VALENCIANA;;LIGA OBRERA COMUNISTA;;PARTIDO MODERADO-CENTRISTAS DE NAVARRA;;CULTURA NATURAL;;PARTIDO REGIONALISTA MURCIANO;;PARTIDO ESPAÑOL DEMOCRATA;;PARTIDO NACIONALISTA DE CASTILLA Y LEON;;COALICION CANDIDATURA POR LA AUTONOMIA;;PARTIDO PROVERISTA;;"AGRUPACION ELECTORAL""AGRUP INDEPENDIENTE DE CEUTA""";;PARTIDO ESPAÑOL CRISTIANO;;MOVIMIENTO COMUNISTA DE EUSKADI;;LIGA KOMUNISTA IRAULTZAILEA;
Castilla - La Mancha          ;16;Cuenca                                            ;213.283;323;170.735;560;171.295;128.206;169;128.375;126.617;125.854;763;1.758;57.361;2;49.339;1;11.054;0;0;0;3.119;0;0;0;0;0;1.475;0;1.870;0;0;0;0;0;0;0;0;0;346;0;0;0;0;0;0;0;0;0;0;0;587;0;307;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;19;Guadalajara                                       ;145.951;378;114.762;559;115.321;87.544;179;87.723;86.289;85.634;655;1.434;32.855;1;36.174;2;9.407;0;0;0;4.024;0;0;0;0;0;670;0;928;0;0;0;0;0;0;0;0;0;505;0;0;0;0;0;0;0;85;0;0;0;479;0;204;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;45;Toledo                                            ;486.194;448;368.517;1.892;370.409;288.403;514;288.917;284.260;282.683;1.577;4.657;130.951;3;100.685;2;30.763;0;0;0;13.400;0;0;0;0;0;1.625;0;2.057;0;0;0;0;0;0;0;0;0;777;0;0;0;0;0;0;0;0;0;0;0;1.228;0;558;0;0;0;0;0;0;0;0;0;0;0;416;0;0;0;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;5;Ávila                                             ;181.770;322;145.054;1.192;146.246;111.967;239;112.206;109.640;109.138;502;2.566;26.927;1;32.295;1;45.283;1;0;0;2.202;0;0;0;0;0;558;0;572;0;0;0;0;0;0;0;0;0;432;0;0;0;0;0;0;0;0;0;0;0;222;0;284;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;9;Burgos                                            ;358.967;674;283.508;2.352;285.860;203.839;574;204.413;200.318;198.321;1.997;4.095;74.484;2;79.153;2;28.353;0;0;0;5.439;0;0;0;0;0;2.029;0;4.476;0;0;0;0;0;0;0;0;0;1.839;0;0;0;0;0;0;0;8;0;0;0;876;0;931;0;0;0;0;0;0;0;0;0;0;0;733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;24;León                                              ;530.787;654;421.198;7.882;429.080;292.525;1.331;293.856;288.551;286.144;2.407;5.305;130.432;3;98.802;2;35.709;0;0;0;7.510;0;0;0;0;0;2.373;0;3.417;0;0;0;0;0;0;0;0;0;1.441;0;0;0;0;0;0;0;357;0;0;0;753;0;1.083;0;0;0;0;0;0;0;0;0;0;0;596;0;0;0;0;0;0;0;0;0;0;0;378;0;0;0;0;0;0;0;1.922;0;1.371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;34;Palencia                                          ;189.433;306;148.049;1.608;149.657;113.421;395;113.816;111.739;110.912;827;2.077;44.952;2;44.311;1;13.819;0;0;0;3.271;0;0;0;0;0;1.081;0;1.634;0;0;0;0;0;0;0;0;0;410;0;0;0;0;0;0;0;0;0;0;0;519;0;364;0;0;0;0;0;0;0;0;0;0;0;234;0;0;0;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;37;Salamanca                                         ;359.048;552;285.021;3.822;288.843;216.249;661;216.910;213.335;211.114;2.221;3.575;82.548;2;76.438;1;39.044;1;0;0;4.093;0;0;0;0;0;1.847;0;2.544;0;0;0;0;0;0;0;0;0;608;0;0;0;0;0;0;0;235;0;0;0;406;0;750;0;0;0;0;0;0;0;1.138;0;0;0;224;0;0;0;408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;327;0;504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;40;Segovia                                           ;150.634;269;116.321;533;116.854;92.406;134;92.540;90.161;89.009;1.152;2.379;29.204;1;32.785;1;21.170;1;0;0;2.218;0;0;0;0;0;736;0;1.126;0;0;0;0;0;0;0;0;0;542;0;0;0;0;0;0;0;179;0;0;0;188;0;266;0;0;0;0;0;0;0;0;0;0;0;155;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254;0;0;0;0;0
Castilla y León               ;42;Soria                                             ;97.734;224;80.878;633;81.511;58.580;171;58.751;56.863;56.271;592;1.888;20.373;1;23.949;2;8.014;0;0;0;1.500;0;0;0;0;0;400;0;1.237;0;0;0;0;0;0;0;0;0;354;0;0;0;0;0;0;0;167;0;0;0;0;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
